company_name,URL1,URL2,URL3
5G Campus Network Alliance,https://5g-industry-campus.com/,https://www.bearingpoint.com/en/insights-events/insights/5g-campus-network/,https://www.detecon.com/drupal/sites/default/files/2019-08/5G_Market_Survey_0.pdf
5G Forum (South Korea),http://www.5gforum.org/html/en/main.php,http://www.5gforum.org/,https://www.itu.int/dms_pub/itu-r/oth/0a/06/R0A0600005F0001PDFE.pdf
5G Health Association,https://5g-health.org/,https://5g-health.org/projects/,https://digital-strategy.ec.europa.eu/hu/node/731/printable/pdf
5G Media Initiative,https://5g-ppp.eu/5g-media/,https://www.bmt-online.de/en/5g-media-initiative-2/,https://www.5gmediahub.eu/
5G OI Lab (5G Open Innovation Lab),https://5goilab.com/,https://5goilab.com/about/,https://5goilab.com/startups/
5GAA (5G Automotive Association),https://5gaa.org/,https://en.wikipedia.org/wiki/5G_Automotive_Association,https://www.linkedin.com/company/5gaa/
5G-ACIA (5G Alliance for Connected Industries and Automation),https://5g-acia.org/,https://www.linkedin.com/company/5g-acia,https://www.5g-records.eu/Workshop_EUCNC_2021/Xueli%20An.pdf
5GAIA (5G Applications Industry Array),https://www.huawei.com/eu/news/2022/4/virtual-private-network-security,https://www-file.huawei.com/-/media/corporate/pdf/news/5g-electricity-network-white-paper-en.pdf?la=en,https://www.gsma.com/greater-china/wp-content/uploads/2020/04/Mobile-Industry-Response-to-COVID19-China-en.pdf
5GCT (5G Catalyst Technologies),https://www.crunchbase.com/organization/5g-catalyst-technologies-co-ltd,https://www.linkedin.com/company/5gct/,https://www.instagram.com/5gct.co/?hl=en
5GDNA (5G Deterministic Networking Alliance),https://www.5gdna.org/?_l=en,https://www.5gdna.org/page85?_l=en,https://www.huawei.com/fr/huaweitech/publication/89/powering-industry-deterministic-networking-oriented-5g-core
10T Tech,https://10ttech.com/,https://10ttech.com/about/,https://10ttech.com/careers/
1NCE,https://1nce.com/,https://1nce.com/en-eu/resources/news-insights/press-releases/softbank-invest-1nce,https://www.linkedin.com/company/1nce
1oT,https://1ot.com/,https://1ot.mobi/,https://en.wikipedia.org/wiki/1oT
29Metals,https://www.29metals.com/,http://www.29metals.com/,https://www.marketindex.com.au/news/dont-overlook-copper-an-unsung-hero-in-the-race-for-ev-batteries-and
3D-P,https://3d-p.com/,https://www.mining-technology.com/contractors/communications/3d-p-mining/,https://www.linkedin.com/company/3d-p
3GPP (Third Generation Partnership Project),https://www.3gpp.org/about-us,https://www.3gpp.org/,https://www.3gpp.org/about-us/introducing-3gpp
450 MHz Alliance,https://450alliance.org/,https://www.linkedin.com/company/450-mhz-alliance,https://www.everythingrf.com/community/what-is-the-450-mhz-alliance
450connect,https://www.450connect.de/,https://450alliance.org/450connect-receives-the-450-mhz-license-rights-for-the-next-20-years/,https://www.nokia.com/about-us/news/releases/2022/02/14/nokia-chosen-by-450connect-to-supply-network-technology-for-lte450-critical-infrastructure-network-in-germany/
4K Solutions,https://4ksolutions.com/,https://www.linkedin.com/company/4k-solutions,https://www.extron.fr/article/4kuhdreadyad
4RF,https://www.4rf.com/,https://www.linkedin.com/company/4rf-limited,https://www.automationgroup.com.au/4rf.html
ACS (Applied Computer Solutions),https://acs.on.ca/,https://www.linkedin.com/company/applied-computer-solutions,https://acs.on.ca/contact-us/
Actelis Networks,https://actelis.com/,http://actelis.com/,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTf5HsXe27SOrxtFKV4p-ui9VVZeNtmGhFt7gbORP5TnP4Xnt2m
Actemium (VINCI Energies),https://www.actemium.fr/ameliorer-la-performance-industrielle/,https://www.actemium.fr/,https://www.actemium.fr/secteurs-d-activite/industrie-du-nucleaire/presentation/
Action Technologies (Shenzhen Action Technologies),http://www.action-tek.net/,https://www.action-intl.com/,http://www.action-telecom.com/fr/about.html
Actiontec Electronics,https://www.actiontec.com/,https://www.actiontec.com/contact/,https://support.actiontec.com/
Active911,https://active911.com/,https://www.linkedin.com/company/active911,https://www.youtube.com/channel/UCEmqnNI3hRcqGn8iM1nrFkw
Actus Networks,https://www.actusnetworks.com/,https://www.linkedin.com/company/actus-networks-inc.,https://www.zoominfo.com/c/actus-networks-inc/353537121
AD Plastik,https://www.adplastik.hr/en,https://www.asprova.eu/en/references/ad-plastik-d-d/,https://hr.linkedin.com/company/ad-plastik
Adani Data Networks,https://www.adani.com/businesses/data-center,https://www.adanienterprises.com/newsroom/media-releases/adaniconnex-a-new-data-center-joint-venture-formed-between-adani-enterprises-and-edgeconnex,https://economictimes.indiatimes.com/industry/telecom/telecom-news/adani-data-networks-receives-authorization-to-provide-full-fledge-telecom-services/articleshow/94802207.cms
Adani Group,https://www.adani.com/,https://www.adani.com/businesses,https://www.adani.com/about-us
ADLINK Technology,https://www.adlinktech.com/en/Index,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTgCQEjFrUbq1UWO68RxqZ3F5wTsP718L5H_dJIUhhSu5OgcTdT,https://en.wikipedia.org/wiki/ADLINK
"ADMIE/IPTO (Independent Power Transmission Operator, Greece)",http://www.admie.gr/en,https://www.admie.gr/en/company/about-us,https://www.admie.gr/en/company/admie-group/ipto-sa
ADNOC (Abu Dhabi National Oil Company),https://www.adnoc.ae/,http://www.adnoc.ae/,https://en.wikipedia.org/wiki/Abu_Dhabi_National_Oil_Company
ADRF (Advanced RF Technologies),https://adrftech.com/,https://adrftech.com/adrf-login/,https://adrftech.com/contact-us/
ADT,https://www.adt.com/,http://www.adt.com/,https://en.wikipedia.org/wiki/ADT_Inc.
Adtran,https://www.adtran.com/en/,https://en.wikipedia.org/wiki/File:ADTRAN-logo.svg,https://en.wikipedia.org/wiki/Adtran
ADVA,https://www.adva.com/en/,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQE_UP8cXKg42PWhoGfmTRorJrbPe9LJWI9Y6pvbniwlu-qhJdy,https://en.wikipedia.org/wiki/ADVA_Optical_Networking
Advanced Energy Industries,https://www.advancedenergy.com/,http://www.advancedenergy.com/,https://ie.linkedin.com/company/advancedenergy?trk=public_profile_experience-item_profile-section-card_subtitle-click
AdvanceTec Industries,https://advancetec.com/,https://advancetec.com/shop/,https://advancetec.com/about-us-advancetec/
Advantech,https://www.advantech.com/en,https://www.advantech.com/es-es,https://www.advantech.com/zh-tw
Altice Group,https://altice.net/,http://altice.net/,https://en.wikipedia.org/wiki/File:Altice_logo_(new).png
Altice Labs,https://www.alticelabs.com/,https://www.linkedin.com/company/altice-labs/,https://actuneuf.com/2016/11/28/1771/sfr-utilise-boitier-ont-daltice-labs
Altice Portugal,https://www.altice.pt/,https://www.altice.pt/pt/altice-portugal/quem-somos,https://fundacao.altice.pt/
Altiostar,https://en.wikipedia.org/wiki/Altiostar,https://en.wikipedia.org/wiki/Altiostar#History,https://en.wikipedia.org/wiki/Altiostar#Partners
